date;all;female;male;young;adult;weather;maxtemp;RH;maxwind
09/04/2013;2332;1115;1108;1122;1210;Rain;13;87;0
10/04/2013;2801;1217;1459;1239;1562;Rain;14;94;45
11/04/2013;2375;1168;1099;1059;1316;Rain;14;82;55
12/04/2013;3447;1617;1651;1606;1841;Sunny;13;78;0
13/04/2013;4823;2469;2117;2318;2505;Rain;16;81;37
14/04/2013;4978;2564;2223;2289;2689;Rain;16;73;0
15/04/2013;2706;1192;1401;1148;1558;Sunny;17;80;0
16/04/2013;2639;1220;1308;1110;1529;Sunny;17;70;32
17/04/2013;2647;1178;1329;1152;1495;Sunny;16;72;0
18/04/2013;2612;1257;1228;1064;1548;Sunny;16;72;53
19/04/2013;3530;1749;1581;1546;1984;Sunny;16;62;0
20/04/2013;4440;2256;1970;2082;2358;Sunny;18;47;50
21/04/2013;3469;1695;1601;1594;1875;Sunny;16;49;0
22/04/2013;2542;1154;1279;1042;1500;Sunny;17;67;29
23/04/2013;2779;1324;1341;1159;1620;Sunny;19;51;35
24/04/2013;4488;2603;1686;1752;2736;Sunny;18;62;27
25/04/2013;5506;3095;2162;2298;3208;Sunny;20;54;48
26/04/2013;2954;1269;1579;1268;1686;Sunny;16;80;55
27/04/2013;2542;1187;1254;1099;1443;Sunny;13;63;74
28/04/2013;2892;1246;1522;1274;1618;Sunny;10;55;55
29/04/2013;2445;942;1388;1021;1424;Rain;11;60;50
30/04/2013;2231;896;1231;906;1325;Sunny;12;66;0
01/05/2013;3617;1589;1879;1670;1947;Sunny;14;68;34
02/05/2013;2113;885;1120;897;1216;Sunny;16;64;0
03/05/2013;2363;932;1336;973;1390;Sunny;18;53;0
04/05/2013;3728;1690;1884;1612;2116;Sunny;20;48;27
05/05/2013;3643;1718;1781;1620;2023;Sunny;19;42;32
06/05/2013;2249;917;1258;888;1361;Sunny;17;53;0
07/05/2013;2214;834;1291;879;1335;Rain;19;46;0
08/05/2013;1668;902;766;711;957;Rain;19;56;29
09/05/2013;1121;497;575;532;589;Sunny;19;72;0
10/05/2013;2160;939;1135;966;1194;Sunny;17;68;0
11/05/2013;2107;1004;1029;1034;1073;Sunny;16;65;48
12/05/2013;2281;975;1220;1045;1236;Sunny;18;63;0
13/05/2013;1301;538;708;569;732;Sunny;22;51;29
14/05/2013;1628;641;913;708;920;Sunny;16;74;52
15/05/2013;1344;580;706;655;689;Rain;13;68;71
16/05/2013;1417;585;769;645;772;Rain;12;77;45
17/05/2013;1616;653;900;728;888;Rain;12;76;48
18/05/2013;2112;964;1064;1067;1045;Rain;13;70;47
19/05/2013;2210;988;1112;1046;1164;Rain;12;72;0
20/05/2013;1402;585;764;629;773;Sunny;13;68;45
21/05/2013;1504;659;795;696;808;Sunny;16;68;50
22/05/2013;2262;994;1175;949;1313;Sunny;17;72;26
23/05/2013;2146;989;1052;985;1161;Sunny;18;71;0
24/05/2013;2564;1291;1176;1241;1323;Sunny;18;68;47
25/05/2013;3318;1719;1476;1681;1637;Sunny;17;67;50
26/05/2013;3514;1867;1502;1773;1741;Sunny;16;68;48
27/05/2013;2258;1072;1103;1056;1202;Rain;14;73;0
28/05/2013;2341;1126;1125;1105;1236;Rain;14;67;60
29/05/2013;2186;972;1111;1008;1178;Sunny;14;74;39
30/05/2013;1794;825;901;843;951;Sunny;14;69;52
31/05/2013;2643;1211;1327;1210;1433;Sunny;18;64;47
01/06/2013;4308;2252;1870;2158;2150;Sunny;20;52;35
02/06/2013;3593;1792;1638;1735;1858;Sunny;23;43;42
03/06/2013;2025;927;976;883;1142;Sunny;24;37;39
04/06/2013;1746;857;821;773;973;Sunny;23;39;39
05/06/2013;3256;1974;1146;1157;2099;Sunny;19;69;0
06/06/2013;3579;2236;1229;1263;2316;Sunny;16;67;0
07/06/2013;4101;2529;1408;1671;2430;Rain;14;79;40
08/06/2013;4917;2675;2023;2168;2749;Rain;13;87;0
09/06/2013;4490;2662;1633;1704;2786;Rain;16;82;0
10/06/2013;3109;1520;1452;1555;1554;Sunny;17;75;0
11/06/2013;1869;916;853;846;1023;Sunny;18;84;0
12/06/2013;1625;771;783;770;855;Sunny;20;74;32
13/06/2013;2685;1329;1236;1250;1435;Sunny;19;73;45
14/06/2013;3100;1314;1659;1312;1788;Sunny;19;62;53
15/06/2013;2418.75;1307.75;1111;1031;1387.75;Sunny;19;69;0
16/06/2013;1738;940;798;741;997;Rain;18;74;0
17/06/2013;1056.25;571.25;485;450;606.25;Rain;17;70;45
18/06/2013;375;194;170;191;184;Rain;17;77;55
19/06/2013;1689;769;839;794;895;Sunny;17;76;47
20/06/2013;2569;1298;1166;1149;1420;Sunny;17;66;53
21/06/2013;2722;1238;1346;1190;1532;Sunny;18;74;53
22/06/2013;3290;1587;1585;1409;1881;Sunny;22;59;48
23/06/2013;3494;1701;1650;1460;2034;Sunny;21;55;53
24/06/2013;2822;1400;1314;1191;1631;Sunny;27;33;35
25/06/2013;3620;1727;1693;1565;2055;Sunny;28;24;35
26/06/2013;3512;1785;1590;1624;1888;Sunny;26;38;47
27/06/2013;2643;1141;1370;1142;1501;Sunny;17;30;0
28/06/2013;4783;2270;2254;2124;2659;Sunny;26;38;37
29/06/2013;5136;2367;2469;2251;2885;Sunny;27;38;52
30/06/2013;4911;2291;2368;2168;2743;Sunny;29;32;52
01/07/2013;4054;1872;1953;1798;2256;Sunny;21;55;55
02/07/2013;3963;1773;1987;1703;2260;Sunny;19;73;53
03/07/2013;3709;1768;1740;1719;1990;Sunny;23;64;0
04/07/2013;3847;1623;2012;1624;2223;Sunny;29;47;40
05/07/2013;4448;2023;2194;2006;2442;Sunny;29;43;47
06/07/2013;5963;2789;2867;2687;3276;Sunny;32;37;40
07/07/2013;4818;2143;2404;2075;2743;Sunny;30;38;34
08/07/2013;4028;1780;2026;1707;2321;Sunny;30;34;24
09/07/2013;4381;1894;2256;1901;2480;Sunny;30;27;0
10/07/2013;3926;1810;1877;1707;2219;Sunny;27;39;0
11/07/2013;4063;1946;1907;1849;2214;Sunny;21;83;0
12/07/2013;5069;2308;2482;2218;2851;Sunny;18;88;0
13/07/2013;5762;2662;2792;2595;3167;Sunny;20;86;26
14/07/2013;4816;2191;2391;2119;2697;Sunny;19;86;0
15/07/2013;3576;1552;1837;1563;2013;Sunny;21;77;39
16/07/2013;3743;1684;1852;1630;2113;Sunny;22;74;32
17/07/2013;3679;1718;1758;1658;2021;Sunny;23;77;32
18/07/2013;3767;1769;1813;1725;2042;Sunny;23;80;35
19/07/2013;3718;1725;1814;1687;2031;Sunny;22;73;39
20/07/2013;4426;2087;2113;2057;2369;Sunny;21;71;0
21/07/2013;4602;2134;2200;2122;2480;Sunny;21;68;0
22/07/2013;3841;1741;1881;1684;2157;Sunny;22;69;50
23/07/2013;3815;1713;1881;1678;2137;Sunny;22;64;40
24/07/2013;4031;1825;1994;1739;2292;Sunny;23;69;32
25/07/2013;4914;2157;2484;2152;2762;Sunny;21;73;0
26/07/2013;4436;2031;2173;2019;2417;Sunny;20;70;0
27/07/2013;4898;2182;2476;2211;2687;Sunny;20;69;0
28/07/2013;5284;2445;2574;2331;2953;Rain;21;74;0
29/07/2013;4027;1846;1945;1801;2226;Rain;21;72;27
30/07/2013;4207;1946;2049;1882;2325;Sunny;26;54;40
31/07/2013;4172;1883;2088;1893;2279;Sunny;26;56;42
01/08/2013;4382;2023;2120;1962;2420;Sunny;23;66;0
02/08/2013;5723;2660;2724;2582;3141;Sunny;22;67;0
03/08/2013;7961;3693;3761;3496;4465;Sunny;21;68;42
04/08/2013;9371;4314;4448;4131;5240;Sunny;22;66;0
05/08/2013;4581;2095;2255;2021;2560;Sunny;22;71;0
06/08/2013;4337;1979;2132;1914;2423;Sunny;22;71;0
07/08/2013;4267;2026;2010;1928;2339;Sunny;21;70;0
08/08/2013;3801;1747;1854;1715;2086;Sunny;22;61;0
09/08/2013;3973;1860;1891;1770;2203;Sunny;28;39;39
10/08/2013;4292;2100;1963;1943;2349;Sunny;30;33;39
11/08/2013;3889;1798;1877;1795;2094;Sunny;29;40;35
12/08/2013;4269;1987;2057;1914;2355;Sunny;23;73;0
13/08/2013;4047;1888;1961;1852;2195;Sunny;24;71;37
14/08/2013;4330;2023;2066;1945;2385;Sunny;26;66;34
15/08/2013;9163;4189;4455;4005;5158;Sunny;26;70;32
16/08/2013;3895;1758;1909;1827;2068;Sunny;22;69;45
17/08/2013;3955;1867;1878;1809;2146;Sunny;23;71;52
18/08/2013;4345;1971;2132;1942;2403;Sunny;23;69;0
19/08/2013;4171;1943;2008;1859;2312;Sunny;27;52;0
20/08/2013;3612;1631;1782;1694;1918;Sunny;28;31;29
21/08/2013;3530;1651;1709;1681;1849;Sunny;26;54;29
22/08/2013;3604;1754;1670;1693;1911;Sunny;24;66;0
23/08/2013;3834;1743;1881;1764;2070;Sunny;22;68;52
24/08/2013;4429;2168;2030;2139;2290;Sunny;22;72;50
25/08/2013;3829;1781;1844;1737;2092;Sunny;24;59;37
26/08/2013;3964;1862;1894;1792;2172;Sunny;22;65;34
27/08/2013;8300;3842;3850;3503;4797;Sunny;23;66;34
28/08/2013;4981;2339;2354;2201;2780;Sunny;23;55;35
29/08/2013;3810;1750;1826;1807;2003;Sunny;23;53;47
30/08/2013;3918;1869;1848;1806;2112;Sunny;24;48;40
31/08/2013;4408;1996;2128;2002;2406;Sunny;26;33;34
01/09/2013;4394;2078;2089;2066;2328;Sunny;26;34;0
02/09/2013;3932;1833;1889;1745;2187;Sunny;26;40;42
03/09/2013;4039;1863;1977;1805;2234;Sunny;27;37;37
04/09/2013;3696;1645;1860;1612;2084;Sunny;24;45;0
05/09/2013;3754;1668;1882;1644;2110;Sunny;23;63;37
06/09/2013;3791;1735;1860;1713;2078;Sunny;22;72;0
07/09/2013;5224;2459;2493;2395;2829;Sunny;20;70;0
08/09/2013;5325;2540;2518;2392;2933;Sunny;19;61;0
09/09/2013;3822;1811;1805;1759;2063;Sunny;21;54;0
10/09/2013;3667;1760;1705;1738;1929;Sunny;22;73;29
11/09/2013;4114;2004;1869;1833;2281;Sunny;24;57;35
12/09/2013;3605;1803;1600;1632;1973;Sunny;26;37;37
13/09/2013;4085;1895;1975;1845;2240;Sunny;26;33;0
14/09/2013;5673;2710;2640;2676;2997;Sunny;24;49;50
15/09/2013;4394;2376;2018;1873;2521;Sunny;22;73;0
16/09/2013;3932;2126;1806;1676;2256;Sunny;20;73;50
17/09/2013;4039;2184;1855;1722;2317;Sunny;21;70;0
18/09/2013;3696;1999;1697;1575;2121;Sunny;20;74;47
19/09/2013;3754;2030;1724;1600;2154;Sunny;22;68;0
20/09/2013;3791;2050;1741;1616;2175;Sunny;24;46;42
21/09/2013;5224;2825;2399;2227;2997;Sunny;24;42;35
22/09/2013;5325;2880;2445;2270;3055;Sunny;26;46;29
23/09/2013;3822;2067;1755;1629;2193;Sunny;22;68;37
24/09/2013;3667;1983;1684;1563;2104;Sunny;21;81;0
25/09/2013;4114;2225;1889;1754;2360;Rain;20;85;0
26/09/2013;3605;1949;1656;1537;2068;Rain;20;83;52
27/09/2013;2135;1016;1009;959;1176;Rain;21;86;64
28/09/2013;3954;1948;1786;1833;2121;Rain;19;91;55
29/09/2013;4712;2101;2333;2275;2437;Rain;19;92;0
30/09/2013;3232;1403;1675;1419;1813;Rain;20;99;0
01/10/2013;2905;1258;1503;1233;1672;Rain;20;97;48
02/10/2013;2668;1197;1340;1238;1430;Rain;20;93;40
03/10/2013;8270;3715;4142;3766;4504;Rain;20;84;0
04/10/2013;3047;1354;1534;1308;1739;Rain;19;86;0
05/10/2013;4439;2110;2110;2057;2382;Sunny;19;79;0
06/10/2013;15735;7645;7045;7495;8240;Sunny;21;68;39
07/10/2013;4205;1857;2081;1767;2438;Sunny;22;57;40
08/10/2013;1638;655;896;696;942;Sunny;22;53;42
09/10/2013;2564;1257;1178;1052;1512;Sunny;22;50;34
10/10/2013;2371;1139;1125;982;1389;Sunny;23;51;32
11/10/2013;2207;989;1107;1016;1191;Sunny;20;67;0
12/10/2013;4647;2172;2215;2200;2447;Sunny;17;71;0
13/10/2013;3866;1804;1859;1821;2045;Sunny;17;75;0
14/10/2013;1877;754;1030;809;1068;Sunny;18;88;24
15/10/2013;1754;680;975;746;1008;Rain;20;86;0
16/10/2013;1793;744;955;781;1012;Sunny;19;85;40
17/10/2013;1617;676;872;693;924;Rain;21;86;39
18/10/2013;4410;1922;2280;1939;2471;Rain;18;91;69
19/10/2013;2607;1070;1400;1208;1399;Rain;18;87;0
20/10/2013;2640;1072;1475;1172;1468;Rain;18;89;34
21/10/2013;2289;756;1414;816;1473;Rain;20;85;63
22/10/2013;1933;755;1107;769;1164;Rain;19;88;74
23/10/2013;2866;1041;1728;922;1944;Rain;19;92;0
24/10/2013;3630;1256;2216;1225;2405;Rain;19;94;66
25/10/2013;2975;1087;1773;1122;1853;Rain;17;89;0
26/10/2013;4327;1777;2319;1942;2385;Sunny;17;89;34
27/10/2013;3673;1504;2000;1521;2152;Rain;17;83;40
28/10/2013;2734;1086;1533;1064;1670;Rain;14;86;29
29/10/2013;2185;861;1218;961;1224;Sunny;14;69;0
30/10/2013;1933;799;1034;874;1059;Sunny;14;62;34
31/10/2013;1389;596;748;568;821;Sunny;14;64;27
01/11/2013;2796;1169;1470;1142;1654;Sunny;16;83;32
02/11/2013;4180;1926;2052;1975;2205;Sunny;17;88;0
03/11/2013;4148;1766;2163;1879;2269;Sunny;18;79;0
04/11/2013;2748;1156;1446;1003;1745;Sunny;16;79;0
05/11/2013;2522;1027;1378;966;1556;Rain;17;87;0
06/11/2013;2424;993;1315;948;1476;Sunny;17;76;0
07/11/2013;2450;1039;1298;999;1451;Sunny;17;80;0
08/11/2013;3407;1431;1801;1489;1918;Sunny;16;94;0
09/11/2013;4314;1948;2159;1980;2334;Sunny;14;76;0
10/11/2013;5187;2312;2639;2226;2961;Sunny;16;82;0
11/11/2013;2411;930;1365;949;1462;Sunny;16;75;0
12/11/2013;2173;840;1235;845;1328;Sunny;17;72;48
13/11/2013;2315;976;1234;947;1368;Sunny;16;73;42
14/11/2013;2066;780;1196;882;1184;Sunny;17;55;53
15/11/2013;3691;1425;2088;1608;2083;Sunny;13;56;0
16/11/2013;7719;3549;3768;3889;3830;Sunny;10;63;50
17/11/2013;6165;2542;3294;2953;3212;Sunny;11;69;0
18/11/2013;3469;1371;1918;1497;1972;Rain;13;74;0
19/11/2013;2847;1170;1500;1261;1586;Sunny;13;78;52
20/11/2013;3295;1341;1787;1518;1777;Sunny;10;64;29
21/11/2013;2638;1061;1464;1226;1412;Rain;9;79;0
22/11/2013;3459;1377;1929;1584;1875;Rain;11;99;0
23/11/2013;4860;2184;2400;2442;2418;Sunny;10;84;0
24/11/2013;5179;2317;2605;2661;2518;Sunny;9;58;0
25/11/2013;2642;1082;1401;1150;1492;Sunny;10;56;0
26/11/2013;2551;1015;1400;1246;1305;Sunny;10;57;37
27/11/2013;2347;899;1327;1136;1211;Sunny;9;58;0
28/11/2013;2863;1238;1501;1430;1433;Sunny;8;60;0
29/11/2013;3875;1789;1891;1962;1913;Sunny;11;62;0
30/11/2013;6107;2854;2887;3214;2893;Sunny;10;69;0
01/12/2013;4857;2289;2305;2476;2381;Sunny;10;54;45
02/12/2013;3365;1705;1495;1594;1771;Sunny;9;58;0
03/12/2013;2938;1440;1348;1318;1620;Sunny;9;60;35
04/12/2013;3119;1540;1437;1405;1714;Sunny;11;62;34
05/12/2013;3436;1811;1484;1576;1860;Sunny;12;70;35
06/12/2013;2343;1409;855;1150;1193;Sunny;11;67;0
07/12/2013;5579;2855;2429;2972;2607;Sunny;9;72;34
08/12/2013;4796;2235;2284;2489;2307;Rain;7;83;0
09/12/2013;2620;1080;1376;1375;1245;Rain;8;83;39
10/12/2013;2663;1153;1373;1284;1379;Sunny;10;75;37
11/12/2013;2817;1189;1466;1387;1430;Rain;12;80;0
12/12/2013;3767;1708;1885;1933;1834;Sunny;13;81;32
13/12/2013;6804;3043;3399;3475;3329;Rain;13;94;29
14/12/2013;11110;5246;5259;5953;5157;Rain;13;83;48
15/12/2013;4974;2299;2390;2680;2294;Sunny;11;83;35
16/12/2013;3228;1442;1606;1625;1603;Sunny;10;87;32
17/12/2013;3191;1427;1627;1688;1503;Rain;11;90;24
18/12/2013;4153;2035;1880;2208;1945;Rain;10;93;0
19/12/2013;4307;2043;2028;2282;2025;Rain;12;86;74
20/12/2013;4660;2207;2227;2441;2219;Sunny;9;69;0
21/12/2013;6193;2894;2967;3115;3078;Sunny;9;68;0
22/12/2013;0;0;0;0;0;Sunny;11;83;35
23/12/2013;0;0;0;0;0;Sunny;10;87;32
24/12/2013;0;0;0;0;0;Rain;11;90;24
25/12/2013;0;0;0;0;0;Rain;10;93;0
26/12/2013;0;0;0;0;0;Rain;12;86;74
27/12/2013;0;0;0;0;0;Sunny;9;69;0
28/12/2013;0;0;0;0;0;Sunny;9;68;0
